"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","Тест получения неактивных пользователей [1] {days=1}, 200, [""user1""]","","Tue Apr 01 01:34:54 GMT 2025","passed","Tue Apr 01 01:34:54 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetInactiveUsers"
"","14","Тест записи сессии [5] {userId=user123123123, loginTime=2025-03-27T01:34:52.122541005, logoutTime=2025-03-30T01:34:52.122541005}, 400, Invalid data: User not found","","Tue Apr 01 01:34:54 GMT 2025","passed","Tue Apr 01 01:34:54 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession"
"","0","testGetUserLastSessionDate_WithoutSessions(List)","","Tue Apr 01 01:34:56 GMT 2025","skipped","Tue Apr 01 01:34:56 GMT 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate_WithoutSessions"
"","0","Тест получения для юзера у которого нет сессий","","Tue Apr 01 01:34:54 GMT 2025","skipped","Tue Apr 01 01:34:54 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivityForUserWithoutSessions"
"","21","Тест получения неактивных пользователей [3] {}, 400, Missing days parameter","","Tue Apr 01 01:34:54 GMT 2025","passed","Tue Apr 01 01:34:54 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetInactiveUsers"
"","13","Тест получения месячной активности [3] {month=2025-03}, 400, Missing parameters","","Tue Apr 01 01:34:54 GMT 2025","passed","Tue Apr 01 01:34:54 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivity"
"","16","Тест записи сессии [2] {loginTime=2025-03-27T01:34:52.122541005, logoutTime=2025-03-30T01:34:52.122541005}, 400, Missing parameters","","Tue Apr 01 01:34:54 GMT 2025","passed","Tue Apr 01 01:34:54 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession"
"","1415","testGetUserStatus(long, String) [1] 119, Active","","Tue Apr 01 01:34:54 GMT 2025","passed","Tue Apr 01 01:34:56 GMT 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus"
"","11","Тест получения месячной активности [4] {userId=user1}, 400, Missing parameters","","Tue Apr 01 01:34:54 GMT 2025","passed","Tue Apr 01 01:34:54 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivity"
"","10","testGetUserLastSessionDate(LocalDateTime, List) [1] 2025-03-29T01:34:56.366300302, [Session[loginTime=2025-03-28T01:34:56.366329978, logoutTime=2025-03-29T01:34:56.366337652]]","","Tue Apr 01 01:34:56 GMT 2025","passed","Tue Apr 01 01:34:56 GMT 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate"
