"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Тест получения месячной активности [4] {userId=user1}, 400, Missing parameters","","Tue Apr 01 00:39:23 GMT 2025","passed","Tue Apr 01 00:39:23 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivity"
"","15","Тест регистрации пользователя [3] {userId=user1}, 400, Missing parameters","","Tue Apr 01 00:39:23 GMT 2025","passed","Tue Apr 01 00:39:23 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistration"
"","14","Тест получения месячной активности [1] {month=2025-03, userId=user1}, 200, {""2025-03-27"":4320}","","Tue Apr 01 00:39:23 GMT 2025","passed","Tue Apr 01 00:39:23 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivity"
"","1033","testGetUserStatus(long, String) [1] 119, Active","","Tue Apr 01 00:39:23 GMT 2025","passed","Tue Apr 01 00:39:25 GMT 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus"
"","25","Тест получения неактивных пользователей [1] {days=1}, 200, [""user1""]","","Tue Apr 01 00:39:23 GMT 2025","passed","Tue Apr 01 00:39:23 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetInactiveUsers"
"","11","Тест записи сессии [4] {loginTime=2025-03-27T00:39:20.876248808, userId=user1}, 400, Missing parameters","","Tue Apr 01 00:39:23 GMT 2025","passed","Tue Apr 01 00:39:23 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession"
"","10","Тест получения неактивных пользователей [3] {}, 400, Missing days parameter","","Tue Apr 01 00:39:23 GMT 2025","passed","Tue Apr 01 00:39:23 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetInactiveUsers"
"","14","Тест записи сессии [2] {logoutTime=2025-03-30T00:39:20.876248808, loginTime=2025-03-27T00:39:20.876248808}, 400, Missing parameters","","Tue Apr 01 00:39:23 GMT 2025","passed","Tue Apr 01 00:39:23 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession"
"","4","testGetUserStatus(long, String) [8] 999, Highly active","","Tue Apr 01 00:39:25 GMT 2025","passed","Tue Apr 01 00:39:25 GMT 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus"
"","7","testGetUserStatus(long, String) [6] 61, Active","","Tue Apr 01 00:39:25 GMT 2025","passed","Tue Apr 01 00:39:25 GMT 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus"
"","29","Тест получения общего времени активности","","Tue Apr 01 00:39:23 GMT 2025","passed","Tue Apr 01 00:39:23 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivity"
"","7","testGetUserStatus(long, String) [3] 121, Highly active","","Tue Apr 01 00:39:25 GMT 2025","passed","Tue Apr 01 00:39:25 GMT 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus"
