"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Тест записи сессии [5] {userId=user123123123, loginTime=2025-03-27T01:04:18.790585513, logoutTime=2025-03-30T01:04:18.790585513}, 400, Invalid data: User not found","","Tue Apr 01 01:04:21 GMT 2025","passed","Tue Apr 01 01:04:21 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession"
"","22","Тест регистрации пользователя [2] {userName=Alice}, 400, Missing parameters","","Tue Apr 01 01:04:21 GMT 2025","passed","Tue Apr 01 01:04:21 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistration"
"","16","Тест получения неактивных пользователей [2] {days=2}, 200, []","","Tue Apr 01 01:04:21 GMT 2025","passed","Tue Apr 01 01:04:21 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetInactiveUsers"
"","0","Тест получения для юзера у которого нет сессий","","Tue Apr 01 01:04:21 GMT 2025","skipped","Tue Apr 01 01:04:21 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivityForUserWithoutSessions"
"","1194","Тест регистрации пользователя [1] {userName=Alice, userId=user1}, 200, User registered","","Tue Apr 01 01:04:20 GMT 2025","passed","Tue Apr 01 01:04:21 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistration"
"","18","Тест записи сессии [1] {userId=user1, loginTime=2025-03-27T01:04:18.790585513, logoutTime=2025-03-30T01:04:18.790585513}, 200, Session recorded","","Tue Apr 01 01:04:21 GMT 2025","passed","Tue Apr 01 01:04:21 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession"
"","14","Тест получения месячной активности [2] {userId=user1, month=2025-02}, 200, {}","","Tue Apr 01 01:04:21 GMT 2025","passed","Tue Apr 01 01:04:21 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivity"
"","17","Тест записи сессии [2] {logoutTime=2025-03-30T01:04:18.790585513, loginTime=2025-03-27T01:04:18.790585513}, 400, Missing parameters","","Tue Apr 01 01:04:21 GMT 2025","passed","Tue Apr 01 01:04:21 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession"
"","19","Тест регистрации пользователя [3] {userId=user1}, 400, Missing parameters","","Tue Apr 01 01:04:21 GMT 2025","passed","Tue Apr 01 01:04:21 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistration"
"","12","Тест получения месячной активности [3] {month=2025-03}, 400, Missing parameters","","Tue Apr 01 01:04:21 GMT 2025","passed","Tue Apr 01 01:04:21 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivity"
"","4","testGetUserStatus(long, String) [4] 59, Inactive","","Tue Apr 01 01:04:22 GMT 2025","passed","Tue Apr 01 01:04:22 GMT 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus"
"","4","testGetUserStatus(long, String) [3] 121, Highly active","","Tue Apr 01 01:04:22 GMT 2025","passed","Tue Apr 01 01:04:22 GMT 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus"
"","22","Тест получения неактивных пользователей [1] {days=1}, 200, [""user1""]","","Tue Apr 01 01:04:21 GMT 2025","passed","Tue Apr 01 01:04:21 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetInactiveUsers"
"","30","Тест получения общего времени активности","","Tue Apr 01 01:04:21 GMT 2025","passed","Tue Apr 01 01:04:21 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivity"
"","4","testGetUserStatus(long, String) [5] 60, Active","","Tue Apr 01 01:04:22 GMT 2025","passed","Tue Apr 01 01:04:22 GMT 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus"
